fips,county,population,population_moe,pcp_2023,pcp_2022,md_2023,do_2023,pcp_per_100k,pcp_2022_per_100k,age65,age65_moe,age65_pct,poverty_population,poverty_population_moe,poverty,poverty_moe,poverty_pct,age65_moe_pp,poverty_moe_pp,baseline_selected,selected_scenarios,scenario_count,evaluated_scenarios,capacity_stable,screening_group
25001,Barnstable,230073.0,0.0,192.0,206.0,170.0,22.0,83.45177400216453,89.53679918982236,74234.0,1586.8865743965446,32.26541141289938,227483.0,261.0,16909.0,1304.0,7.4330829116901045,0.6897317696542161,0.573166204526883,False,1,8,8,False,Not selected
25003,Berkshire,128047.0,0.0,152.0,155.0,140.0,12.0,118.70641248916414,121.049302209345,31527.0,974.9825639466585,24.621428069380773,122620.0,163.0,13481.0,1353.0,10.994128200946012,0.7614255421420717,1.1033121163961062,False,0,8,8,False,Not selected
25005,Bristol,578436.0,0.0,319.0,316.0,296.0,23.0,55.14871135268206,54.6300714340048,100780.0,2029.0327745011907,17.422843668098114,565411.0,530.0,65846.0,3176.0,11.645687827085077,0.3507791310535981,0.5616091996072092,True,7,8,8,True,Investigate
25007,Dukes,20751.0,0.0,14.0,12.0,12.0,2.0,67.46662811430774,57.828538383692354,5387.0,580.5350979914996,25.960194689412557,20486.0,124.0,1102.0,424.0,5.37928341306258,2.7976246831068363,2.0694500074610445,True,7,8,8,True,Investigate
25009,Essex,807258.0,0.0,599.0,599.0,545.0,54.0,74.20180413201231,74.20180413201231,145373.0,2383.254917124897,18.008245195464152,791577.0,449.0,74235.0,3960.0,9.378114826479294,0.2952284049368228,0.5002389056634182,True,6,8,8,False,Investigate
25011,Franklin,70922.0,0.0,43.0,44.0,39.0,4.0,60.629987874002424,62.03998759200248,16973.0,564.7601260712374,23.931925213614957,69982.0,118.0,8508.0,858.0,12.157411905918664,0.7963116184981212,1.2258581653805596,True,8,8,8,True,Investigate
25013,Hampden,462853.0,0.0,325.0,321.0,305.0,20.0,70.21667786532657,69.35247259929179,82518.0,1799.8866630985408,17.828122535664672,450453.0,413.0,70787.0,3315.0,15.714625055222188,0.3888678831288856,0.7357847802199686,True,8,8,8,True,Investigate
25015,Hampshire,156595.0,0.0,186.0,199.0,171.0,15.0,118.77773875283374,127.07940866566621,30271.0,875.6711711595855,19.330757687027045,135322.0,202.0,14750.0,1264.0,10.89992758014218,0.5591948473192538,0.9339266482047804,False,0,8,8,False,Not selected
25017,Middlesex,1622896.0,0.0,1981.0,2004.0,1921.0,60.0,122.06573927103153,123.48295885873155,259590.0,3037.2589616297128,15.995479685697667,1571906.0,559.0,118146.0,4951.0,7.516098290864721,0.18715056057995785,0.31495660197117376,False,0,8,8,False,Not selected
25019,Nantucket,14299.0,0.0,8.0,7.0,8.0,0.0,55.94796838939786,48.95447234072313,2217.0,229.91955114778733,15.504580739911882,14146.0,53.0,428.0,179.0,3.0255902728686555,1.6079414724651186,1.2653245944845302,False,0,8,8,False,Not selected
25021,Norfolk,724540.0,0.0,879.0,877.0,858.0,21.0,121.31835371408066,121.04231650426478,126172.0,2254.6332295963352,17.414083418444807,708741.0,306.0,46980.0,2789.0,6.628655601975898,0.31118133292797295,0.3935042899994401,False,0,8,8,False,Not selected
25023,Plymouth,531889.0,0.0,330.0,341.0,301.0,29.0,62.04302025422598,64.11112092936685,102175.0,2128.600244292009,19.209835134774362,521755.0,458.0,36987.0,2451.0,7.088959377485602,0.4001963274841196,0.46971949457034656,True,7,8,8,True,Investigate
25025,Suffolk,782172.0,0.0,1313.0,1295.0,1285.0,28.0,167.86589138961762,165.5646072730806,101416.0,2183.9990842488924,12.965946109039955,740898.0,995.0,121929.0,3647.0,16.45692119563017,0.27922235572852167,0.4917440899963772,False,0,8,8,False,Not selected
25027,Worcester,861664.0,0.0,817.0,824.0,760.0,57.0,94.81654101830875,95.62892264270063,142716.0,2283.129431285051,16.562836558101534,836461.0,462.0,86428.0,3926.0,10.332579761638618,0.26496748515489227,0.4693237070680848,False,0,8,8,False,Not selected
